lom_id,intuitiveness,fluidity,speed
843ca5c0dd1ad90780481e5b65f61c0359af5902d466a2693c2d343106c85e69,"[1.346, 1.346, 1.346]",[],"[1, 1, 1]"
1159feab6f6b67879bfe212c1796695e7811633341affe9229704b6855747811,"[2.078, 2.078, 2.078, 2.078]",[],"[1, 1, 1, 1]"
0c0764b5fef9ac13514787e22e16e2bc5439d1022419b9b8e629eded74a18c25,"[44.201, 44.201, 44.201, 44.201]","[0.5589999999999975, 0.5589999999999975, 0.5589999999999975, 0.5589999999999975]","[2, 2, 2, 2]"
434dc4e82790950fa557aaa46f8aa8489a59db24f5f67d8d63a9124d8d58ce70,"[1.363, 1.363]",[],"[1, 1]"
59f16b7a3069bd8e3e4cf001fae8700ed2600cf49865f2868e2272a2a1bc7350,"[2.051, 2.051, 2.051, 2.051]",[],"[1, 1, 1, 1]"
9516e36dfa0143d1474edaac16e5a5813cdc1674426463a1b440114a4c577d6a,[16.694],[1.4720000000000013],[2]
ef3e89f73d4dbd51d1007600b1ac85d31bed3021d268f96ff9d2fd1f7638e942,[0.499],"[1.52, 0.7130000000000001]",[3]
1ac6d92ef4ea7116ba1b840fdc1731d04a37f703e0a5a8bfa6df1c534b59a061,[0.872],[],[1]
49d4ec041242c712134a1c23b03b81400edc8caa738d411cdc04641ac65342d3,[2.068],[1.576],[2]
c7195bd45caeafdf06d0ee23f8a68168da219931d0b3cb1c40cc2e3972d9e4bc,[3.857],[],[1]
68d77968304680346d65cea85b0fa1aa3c18771b371963fd7358f0d6dbbc5b51,[3.14],[],[1]
c644fa354c112069195a224becf7701eeb4d81a8e6f953203a694be17bb5f87d,[0.151],"[1.544, 0.46399999999999975]",[3]
3a9aca123aa790fd30d52b1695f0060f828f01a16d1286b0551e27f17ad35704,"[2.395, 2.395, 2.453, 2.395, 2.395, 2.453, 2.395, 2.453]",[],"[1, 1, 1, 1, 1, 1, 1, 1]"
caa97b3cc25bca2cae16b9feb1e12ae9f2d44ca37a1082ee5b9d410f281557ea,[34.268],[],[1]
2312c9ac87b98af93cb61c6bd21ab16e0868e3ce32d77447124ae388a5e1450b,[11.491],[],[1]
38736b1f04cd092c45714f630e09b179a631b0211bee90c0b0aa1c18a7b4686e,"[17.577, 17.577, 17.577]","[13.671999999999997, 13.671999999999997, 13.671999999999997]","[2, 2, 2]"
e1c2c63bc090231edefae11ae72fb69847f1b1305ef3281e73b21dd0d42acf0f,"[18.016, 18.016, 18.016]","[0.5120000000000005, 0.5120000000000005, 0.5120000000000005]","[2, 2, 2]"
f83c3b745cd29a12802341e615d5fd7dccf2dfef599e9592f9d5d4f7f33ad254,"[18.149, 18.149, 18.149]",[],"[1, 1, 1]"
28651e02ce4a4da6ab6e606d5510ae7a19e1430df67cb811fad3f3d7cc4f9a40,"[5.445, 5.392, 5.445, 5.392, 5.392, 5.445, 5.445, 5.662, 5.445, 5.662]",[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
b2e74964cb8821bea71e9ac4f472232fe7d36b9e45da53f545b9945ddfd773a0,"[23.574, 23.574]","[0.5039999999999978, 0.5039999999999978]","[2, 2]"
4a326109317e5d51f093e5d6e14bf134c8c3f5e718abc7326b3daaa781939ef0,"[5.669, 5.669, 5.603, 5.669, 5.669]",[],"[1, 1, 1, 1, 1]"
fb8002ed87950e732d10ddf6c95917fa4389ac6dacde77c003f5c4bf9a770a07,"[3.569, 3.569, 3.569]","[2.072, 2.072, 2.072]","[2, 2, 2]"
1ab1313172a34b1cc8a57e1cc2cedd2a0e7bddb3f84eb2a013a6a572594a5328,"[5.924, 5.924]",[],"[1, 1]"
c17eb1be3de895c45fbd14beee6e3a18039add9faf181fce195a8ac4e1100637,[11.977],[],[1]
7685de81fe222060db0e1d6d45626563acb5bd27b6eeabf3f478cc8351da52bd,[23.607],[4.109999999999999],[2]
e94a69e7bdbeeb8300caeb8e4d46051cddc1308cb26a1bf9daf5eb421e18a0b9,[29.658],[],[1]
67eced33a14a9ff844f3b093d2308146cea2cd32d2cd7cf8bed9a6ffa2b6b1fa,[33.38],[],[1]
b74f3de9cb5f42807e3cc3c3a6cb56c26b3c4931afb89b6402b9985fabf0a8ab,"[16.334, 16.334]",[],"[1, 1]"
eba8a16d559af07e737fd4896837613b2a6295544201c0311744538542fcbbd0,"[0.422, 0.422, 0.422, 0.422, 0.422, 0.422]",[],"[1, 1, 1, 1, 1, 1]"
70f5256b14152e244151cd5dc0c367aa6297b6f5c21eb4343ea4fcc2759a5768,"[13.189, 13.189, 13.189, 13.189, 13.189]",[],"[1, 1, 1, 1, 1]"
63eb6e3b729994ae81916aaa3c9c0e29b0f40924793197c6591d77c88c6303c1,"[2.592, 2.592]",[],"[1, 1]"
e9a6c003da45cbcf251e9127ff3ac93b877ce06d5dbeac1c7edcbfc1983b5a9c,"[44.031, 0.944, 2.433, 44.031, 2.433]",[],"[1, 1, 1, 1, 1]"
f5e229e8123850d569edc5f0d7abebd973edd5f2b7a9de4a2a2280a3086df722,[35.108],[],[1]
4c6dd162075791810df28f7715c7745584edf2e6085b8481a4018b63299735be,[2.109],[],[1]
36952a257a18477ae4946dc17e073a2f4a5fe13f7dfbf5f2f4adbcb48cf16935,[0.115],[],[1]
4788d05040e82ce48003d1c1c50988e0ef658c024ef9e5bfc75a3a66afaf82be,[2.165],[],[1]
01a4a405cf656eb1dd93a9db5400cf1b028b37c97ca404cfdc4fc02f91d9eed7,"[1.082, 1.082, 1.082, 1.082, 1.082, 1.082]",[],"[1, 1, 1, 1, 1, 1]"
52654dc058453986b58ecf4a87ae169d049f6c7af95186e6bb9a402567477362,"[2.769, 2.769]",[],"[1, 1]"
24942bbd6476f4f97863219424ae752600441500cbca7f2c5673cab9f33f8f39,"[1.019, 1.019, 1.019]",[],"[1, 1, 1]"
bc2d0aeaefde2a08dcbb17edfbb786c168c98781ebdca06e4dc138e2ca92f96c,[1.463],[],[1]
5e29cf016d94be93e3064af9c3fd76bdae01917a23a3332f6eda91831ae0a06a,"[2.042, 2.042]",[],"[1, 1]"
875e152c00344c65e6335e9dce22fd90be89db7e25b8c0ffd2bfe9a2d806d44d,"[2.02, 2.02]",[],"[1, 1]"
1e152c9b9616b21617c69dc8038722d6ff21a54e6d69dbb8d867e86c0b18d726,"[0.709, 0.709]","[2.06, 20.147, 2.06, 20.147]","[3, 3]"
0cd6f4a4accbf27006deac92b8c90993abdc7e829121c00ddd4f6c36ca7f10a0,[15.49],[],[1]
c3307bb20d49aecf5ecfe7fc5e1425550d2895080072fe7c6dd86e82266593a2,"[7.87, 7.87]",[],"[1, 1]"
63418f720fbc6e54b79b3d2ec85a1e0c5539ece5c1dd19fb305c84c2b13b5c2e,"[76.27, 76.27]",[],"[1, 1]"
03fabdfc10f521afe1759724dffa015ce2e46e26b28e9b1b0bfbfcaa95d48c02,"[0.369, 0.369]",[],"[1, 1]"
59f50907d135d987f3f4ec7cc0c725ffe56c60963c162f7801c3bb7f79d86eee,[0.976],"[0.16799999999999993, 0.15200000000000014]",[3]
edd0cb6dfbdeb808585f6354b3e70cae3350e2ad06705e05e9c1614733d88852,[75.105],[],[1]
d4b968e0e671acc90d991fd61208f71c234b032580eb4a98f603e6c754971574,[0.579],[],[1]
e11b1072da3d093f789baef65c2bb6e72f5317122783011c2eda006818f5f02c,[0.438],[],[1]
9f9df45870f3923c1e9aa2c89589e4f81c17a00c88031f2f3b5192b84ede4be0,[0.685],[],[1]
8c5920ebbced04d5a0127ba707f138f2b4030b9200cd27928fab4a87545c0595,[1.178],[2.189],[2]
6c617b283c46c25f175563d810f877292afaf9f82e307ce53f16b1ab54a31794,[1.08],[],[1]
53f68541c7fb55f7f1b8aa5cb6de173d87ad0c87e54f378afc71b1efc2d7a082,[0.843],[0.6300000000000001],[2]
86e72f8b9c14c076eda86e42ddc800e60f5776630019ad8661e006f2e67cda49,[0.726],[],[1]
98d89e2f7bb95488c83a4332c1408c22ea79975ea3b028a96945baac8a2baab7,[2.216],"[10.584, 0.16000000000000014]",[3]
1ad57c40e645b965b8be68eae9363ad5c929b8fc80a143b1c78251d105a1c28f,[5.954],[],[1]
c1873f364f0ddcac5712d5ccdeaccf0f70312e73d219d60ca8ef787e221c31b2,[1.445],"[0.16799999999999993, 0.32000000000000006, 0.19199999999999995, 5.232]",[5]
9801dff9fd50c22c3f1d72fae3154d5e261177df511455d67a7b0e40d4bfcc79,[0.119],[],[1]
2afdf92a2c6d63b13377724b4a4960ba5228eccd27c92284ba8459aa7d576e11,[9.119],[39.531],[2]
139a9039b875ac6ef4c128c4964493fbfe1e5dfd6a3230d935b5818c8647d9f6,[2.617],[],[1]
cd9b366a56bc83dc6bb850751621847ee90e58c1487f4f218f1cd09c139b0815,[13.499],"[0.8569999999999993, 0.5069999999999997, 1.045]",[4]
86884a07b0100f1216cb4027c309692ffbd1792ebd13355a67608091de2f4f7d,[1.914],[],[1]
e337442888576004b12491681f6dc53f257888f3d8fe40a99416612589048d4b,[2.815],[1.2639999999999998],[2]
567dac21b70b0adcd87f58da5e939d1157204f97203805695023e0d2d307bf85,[4.615],[],[1]
d68c411d408dbad0a24f12836630b3ef8a0dc226c8a3f4b1dcf10a03d1aa6f1d,[0.787],"[20.776, 2.814, 0.7800000000000011, 6.919999999999998]",[5]
48fd34d0b7015cc00e0b42f872995d0f4e1d4cd933a3967ece579e195a358eb9,[2.705],[],[1]
bcda2638a4b0efe952db5f030a8378302c1e04518655c4deffa87d1d37d0bc12,[4.266],"[2.9800000000000004, 0.6509999999999998, 1.2089999999999996, 0.9499999999999993, 0.8290000000000006, 0.6850000000000005, 2.314, 3.291999999999998, 8.751000000000001, 0.9499999999999993, 1.1140000000000008, 0.5300000000000011, 0.7769999999999975, 1.0700000000000003, 3.735000000000003]",[16]
42f6c911599f70a77aa3f6d89c3b16dacf37d584e8611b8a6985d2f99449feba,[5.655],[],[1]
3e71c1cdef031f68546d9fe5a18bb3204f0f686174a46c374fecb01a1c9eefca,[1.09],[],[1]
6f53fe0e6ebf5aee07c5185f65c2bc60432ce93c081eaed07121310d3feaf08a,[5.05],[],[1]
5b0650fbccf032eee54eaa6b425eda6568dce5b41a50ea029b6c0e8ea3236c32,[1.638],[],[1]
bb1c3dd467aa3d3e991d818b1e1212e97a02e4cd0f97bd8eb978ecd5b75d29af,[2.579],[],[1]
e55371f012b4af5e90f9faf074873861af04d3bce84c145d556eae65b3fe6bde,[1.315],[],[1]
56611745fbe0e74e99d43862aba1becc8e82142e52a49286707abbdba9d9ae88,"[1.758, 2.89]",[],"[1, 1]"
48caaa4abf14fa83f1e6738720a9245ce8bdb2d006a8484541ee8d1fc3839aa2,[2.658],[],[1]
d6c58f6d156aa74e0ba7c547416e63c44c5c7526e9324c9442414e3a6afd0fe6,[1.284],[],[1]
fb08922d0821fb41a80197765c7fa639f35e402cd4456c3f55880081f40e28b0,[1.068],[],[1]
d8e32bb28c1229ef9e5e3b05547a9aa241e6601418036d9c91fce10b9e41a4fe,[1.197],[],[1]
c410b9cd5986d3b2aa0be0752686fc60e77106e77984278f9ec6a9618d5d4eb4,[0.887],[],[1]
b32d3b0d411eaac77becd35d17557e3ca3e8161da026440ad5e610e29c24ddce,[2.469],[],[1]
61bda2eabe181ef719ad1825d684997675552f442dcb4701d18a737ffd1d8cd6,[2.593],[],[1]
02dd877834e25be2721f75d609a50df8500c53655e929b3d393d682e23bc8786,[0.572],[],[1]
f1bdf6e5c91ad976860397400ad6f0899e4d6f354f67af85d3132e8edf255f81,[2.872],[],[1]
254b2e5bda5a83fb4c7b4fadce5f8caa110327d67ac79b33f56adc4cfc8124db,[0.667],[],[1]
39bbd5b203c0795730b1de9c2848e58eb268ab6034918bd7a3347dc3f67ebe52,[10.664],[],[1]
e0777873a10e0810f638edbbc65ed946a50d1df36a1be06341cd8268c0e3a9e0,"[1.014, 1.114]",[],"[1, 1]"
cdb71d4b308a872c4839787155e4c919be90eed35e0e8448f9e844d4bb99929f,[1.16],[],[1]
5fcdae1ad9bc29790091de9469603af170cd2cb0a290bfa6e9ac4157264b74b7,[12.988],[],[1]
d2a2ba14f659bbadfe933ddd3172ac7368418b185a2c7ca1b07f4a7b92f92e30,[0.824],[],[1]
b7374657541a82b70cd86aa4f5e9ab4bfedf3a9d0fd5956bf07f043b3115300b,[5.474],[],[1]
c407f28c33e7fca76370de244f90d8bacd42747e331a65e80232b237db20ee73,[0.858],[],[1]
8fb6ac44c1caa5158bfff990c68c40cfdf93d66f89c8b424b293f58504304314,[4.83],"[2.5759999999999996, 5.408, 2.1359999999999992]",[4]
f8edad4c37845dbd0678ebc71c171a7b789d32058dec4b0f8e6ffc3a31f23fb2,[25.818],[],[1]
4925a2014ac5cbd75794340d6eafd7446c6e7c237dc864790297fade5d463d09,[30.802],[],[1]
4eff4178dd21804fbb7d59b47ed9322e33c43f20ad43b5150fc91445904948cf,[1.72],[0.41300000000000003],[2]
107e6833a572680191b5139bf014d2600ec4cbba45789d03d7d1c4d4f8eac857,[1.638],[],[1]
069eab968ddbe17a43376d9ddf9b3440000c9c71bcd5ae94159dc8ab5156a67e,"[2.293, 1.244, 1.539]",[],"[1, 1, 1]"
eefc00270f89ce95edea4b98241d29c1cc504059e94646cb386bdcb23bdfabfe,[34.516],"[1.4320000000000022, 4.624000000000002, 1.8719999999999999, 18.503999999999998, 3.583999999999996]",[6]
26025a17b63b499ca36c68e6f6c5e849f1b8763fe106e09f1bb2afd433319bc7,[1.717],[],[1]
6da35d99b443d31f1cbc4f8ed3f90ff3ed69c9127d3e6a420c8df23a9dcbe363,[0.685],[],[1]
d654d771f7537f496fcdb4541e26c967727f7b7b9b4d4e08c66f8d102a3a1d9c,[1.595],[],[1]
9f44f67acd55536ef40ea1c3a71a35e207e7005f369817675ca9b8c8d3d304b1,[3.865],[],[1]
22af498e9ccc50fef841b1475551673172593440d6ea13b98a63a1228e0e1a7d,[1.252],[2.801],[2]
95eaafe075a5f0a265dbd8c872fead900d05d26d95b8a11be04371a08e863574,[2.93],[],[1]
fe9da169a2b538cfa189ec5abd19a23a47b825d2266bf9c6c6c4fdee4eecaec9,"[2.335, 1.416, 2.794]",[],"[1, 1, 1]"
938e6bdcf0a1444e7d9caf21dac67d6d91accda7ec0353935021c44e13629831,[8.676],[0.5909999999999993],[2]
a755e3bfc8ceed453556bfc32bc6aa06251f241f2443b1e2659364220255dfa5,[2.053],[],[1]
695ae0c72be184869596c70c865f1aaee772c60e5300c6523832fbbc2cc6a45a,[26.529],[],[1]
0bf45146c82c55f9e91f3c527f9eb8c8d8add8315329d0cc3621aebb71b62eb0,[8.781],[],[1]
b6cfcd81432a5fca05873f7577fe732d09a075c52968ca7a972dfbc07b6c7ee2,[1.774],[],[1]
81d98b10a7b428b5a235eb0c683cb0e4799f84aef1de61ba76f91e3966b9028c,[0.434],[],[1]
329fae4e650d9288d4313cc1a28d6eda3f2af7a129de4183fe17c33a649548ec,[0.968],[],[1]
25e25f6af78187a2e7c6b1091087b4e950a647798c6bb3c8de7bc3794a82b427,[1.979],[],[1]
d23255f06db3aa6e288b557fbd1220af78fcf51245fe71f261c2f37e9baa4a81,[8.456],[],[1]
b8e68fc2fa899e6324d9ab0aa6545f51c542ef5e69b0d7142bd0d7518d407cf1,[0.902],[1.5509999999999997],[2]
4516a18a15c30b47834f1c7d77a7b9a97392777756c43ec9b5e81be1f217bf63,[1.457],[1.5359999999999998],[2]
2229a9af3609c8fee857afd7d1b65ec1830b1d9b472b58702bcc8721252b2c8d,[0.94],[],[1]
2bd048e18ccb979fd161959539ba6870bb4fd345f52e940d34b3bbc1b7dcb9b1,[1.12],[],[1]
87fdae69c0fec28c645ca89f4e766c8e002bc414ed578163483eb991afa3d123,[0.302],"[3.919, 4.0329999999999995, 0.9280000000000008, 0.4710000000000001, 1.2729999999999997]",[6]
3fcaa5fd35d7033f172add16a680d839edfccb736e0546ba98794b3dafa9be51,[2.738],[1.3909999999999996],[2]
4dfd9aa881c145160f3710edac1275323a90d5ecfedd76e5ee24c1186e535227,"[0.706, 0.598]",[],"[1, 1]"
5f9205d87f0e1c353fed5828e10b37524501ad9d10d74f1d96ca6adc2d39193e,[4.251],[],[1]
ac483edabc0b3d7acf06bf8ca0e2d3fbfa60fb09e31383aaf985b3686f636565,"[0.618, 0.574]",[0.392],"[1, 2]"
b2643e3bf7245a8a10f1f72ae65925db8291a47eba0d8e23b81bda26dce92842,[1.154],[],[1]
423d666abe30000e6bda2916aad178b77a42eb9f192bddfcc3c0502bbc154ad1,[0.107],[],[1]
5de48082e4b9844b3d611364d1716fb5f38d18b3f0196622f70bc617bfe2f930,[0.123],[],[1]
c6c8e4fbb5ca262b818d6994e58808c7bb1b0bbdcc3584e01550dc0ac0c5450d,"[29.779, 9.743]",[],"[1, 1]"
aa6c016be576c3f9e141cf4a5f8f2a0bc6c2a5ab49d30ad7d9693508f38c336e,[0.847],[],[1]
779117ac27b396c1d616f925887160d50bdcbae470f4008d484771bde9b9f6fe,[1.424],[],[1]
3917cc5ee9301b7560b3a152186473a93209e017fbff0037012188fad4661cf5,[1.037],[],[1]
46d9926f90346723fdac384dd34ef7c309e0eb9b573d143be7e1aae1473dfec6,[0.685],[],[1]
0d7278c12b91fc8339777bb3dbe095ff7597b32286d706eed6712c88cfeda9dd,[16.391],[],[1]
1988a8a76697a1250ec42867392d54237f6bbb599765a8d60689dd5e4cafe8c3,"[1.876, 0.457]",[],"[1, 1]"
ea5a3727c56a1cfcacfccb60de44161c8bfd9aa704b22437849caa819e6dfc73,[7.303],[],[1]
55dd6e7d02cf07f71b04e5039420a745359572e10a612cc2caaca12e9a2aa3d1,[4.802],[],[1]
aadf61dfb610a6256a5726a2a9d0e950a76ff0e2e7b97d57df616826731e3c20,[9.732],[],[1]
313de8611e0652d8d5bd0e274092124676a5fb181498df69aecf4397164b54e5,[0.559],[],[1]
27d408f5e7e67a5c143fcde87cafc3d091180ad34c381865be19f979502085cd,[4.62],[],[1]
5d0da60f58c435799c9d9153b921cb48b5afdcaf0ffbff81f7fcba129639da22,"[0.748, 5.519]",[],"[1, 1]"
34a17c917f0ef9759e9f7105e5e5b0aad4a537f78afc8834dbd746a0af62d986,[1.444],[],[1]
a69c6eed66846a8040e334f0fbfd328ae96b5624473344fdd595f43d6e240062,[6.04],[],[1]
dec66dd458e3db7563383e88ce789981fab9a19dffb5c4318948a1f14746e45f,"[10.018, 3.225]",[],"[1, 1]"
ead0216ac26316a14e7778b2f080a35bbea0fa241f8c4105a6d5beb26c604489,[0.151],[],[1]
b188ed2a2ecdb1e42c098bc1a67a23290844762583fdc1fe3fa8d3d958d0493d,[0.676],[],[1]
81d1e37059930901129fbdc85c4e395276cb6dfab27709d320b954b4d0e69434,[0.63],[],[1]
9e060772c959f2a6b7012142a477ff84972713976d9511d6e5fbaf8b462c8fd5,[0.748],[],[1]
8fc3220049e3b5a5c1a6b273430c6af552cb45a8f17ab230cc6110552aa78746,[0.415],[],[1]
590295515b92ffd88ccc272fc8e4851ba8f9c5e84c1c0ec171ca9a0775ff5f2c,[10.964],[],[1]
337a97b4f0e86f4c5ae13e1d067a5d93317be5cbd505642c3347ed2ef7fba386,[92.138],[],[1]
2faea17734b909538855908cb566d271f5c937f11770e4f525a281099fa7142f,[0.167],[5.061],[2]
c100ab3df382de9cbbe2c73380a1fdd0a2fa49faaf037a49507925dd2db071d2,[2.108],[],[1]
f29672700576f61a265ca6df3977e1d1d2cad7e2e6d8c0eade85ced417734ea3,[1.337],[],[1]
07b3dcbb14b0d1f24965731daf1ddcf03fdedcb848263a978f14b394b6f51c21,[0.699],[],[1]
c6ec7ce54fe434de5ec8ee2f986169d62e6813ab9da20c24e0e78cc8131a7627,[5.388],[],[1]
50ae7f80ebe71310c6316fb075528e5f44e9204b9009961504d9cef7d434e754,[1.521],[],[1]
c18f524908add1af80eb91a85012c5db961c0fd1992ba4c4855375d23eaedf2f,[1.156],[],[1]
af6ec98d541014b4e78f566c89056255e6115821ce53b7f375ba01bc74fcb2bc,[3.301],[],[1]
9ba0de44621c8c561c00f0d9217cc4bc1a71aad9461eacd37c58b81faeeb564f,[0.91],[],[1]
bce0bdc8e13262a537ca2c40d8ea7b9abbb5b0f2fcc40f742b2959343aa1f2c7,[1.159],[],[1]
509546a76019017502cd547a4eddb7cf9b98b6b09618025c4921757653ce17e9,[4.397],[],[1]
231f9998533c2dfc24cc5d947da63bbfa046ae1f8fdbcaea79f8e7f7f1b6403e,[25.322],[],[1]
012880af694197498ecb03e0cf5d78a60dc1888fab0e1bd41b3071ba66d6b272,[0.478],[68.894],[2]
e39dcedc1910d43fd20d06c58ca8c6ff81aca7366d1db459c472fb1e378e6e08,[0.92],[],[1]
e95b4d59dbbb151cb58b1cfe96045557a5fe9485708d56e8977e21bbf46683b2,[8.139],"[2.3920000000000012, 1.452, 1.0149999999999988]",[4]
e23a1bbc1bdd8aacac6d4213b3a445412aff49207558cc004bd8c5bc448a5b60,[1.559],[],[1]
dc63ea360f117a19c374f84f6f9c21964194b560c45922c8a196d259a01d3e87,[7.641],[],[1]
9eba044f8f754461c4e959f3fdce979d0510fae4a561edfa80c3c52736586def,[1.767],[],[1]
3cf148731d01863be22c12a18e4685e7645517194b1946fb19976ca219ad71d0,[2.492],[],[1]
ce5c4dbe7019213d7ebeea8c95ca06f8a12e2e3e35862bf49bb85e4643fb18ae,"[2.084, 1.364]",[],"[1, 1]"
5ccc7c4f5f7b17a3dcefe9e496b826e4acf00a381f3d3bc50a200943c6535e37,[0.874],[],[1]
ccb204796efcc51ad4a9480552b845eea42965f2a3a4cd7a6886465d4903910e,[0.648],[],[1]
4fad192b903f05c0bdf30ae95520d72135fbd46b12df1856c4e8cc47b0f8300d,[1.157],[],[1]
5c01e3edf397cd7bd1651f23d439155704c2d84225ba3a8d57fdb32b3dd2dc97,"[1.013, 1.013]",[],"[1, 1]"
312cfe526e4bef885d77107f3e6562946826db8a7c775d569b54cb8cf95c9e2d,[0.958],[],[1]
dbb757775dde9c79fad72202f42a9266881628ae27c9f2e755a620938f85a639,[1.774],[],[1]
2e4a322f2531bf804325f758522a197210f87f229cecdf8a1c0092a64edb5fd8,[1.682],[],[1]
32fa9f97c9ceb38b87430074ba876e21f1aba4c2f2764ca00c54a2cc5279b0d8,[2.471],[],[1]
4cf3dd52d1fae63d7e76bbb159596201772fe6609bd07206bfd94c35901c6c47,[1.088],[],[1]
0973e327661ba4d8852145fc7376402563b1e9860324cd1de355b3b60039f10d,[2.007],[],[1]
9e94fd877c2052c6d4a4917608be140db74f2150ec4ef281b0c30c5676023a4c,[0.925],[],[1]
fc02d786426cafa9ffdf86afe2b4377a4cc1640876152447aa72051958f82c04,[3.96],[],[1]
3d72fb11574957d8ab56e1c95242802c49c4f180db2c2aef2b33e292bf68b227,[3.332],[],[1]
d010cfb53f30774ee6d0a5c7d26035ffe10e550b772d93d256d4b7b53373ce02,[6.822],[],[1]
b2a738e1a1ff359be80effd1c1ea977d547db38cf9c08579562b8ad6d6f7e9db,[13.632],[],[1]
06b39f959686c2b25390ba8c5e270d7e8b6d7ad258903cd169f8bb359c1d3105,[0.407],[],[1]
73e9f28ae13a2cd69c9e6784ce8e41e71ae1c32a2feb3060be557a9e8090a43a,[4.264],[],[1]
8ca24d924f65a851c5ad9c6e56e6a266fac052c3b09bfd9d678d572eb1efde40,[36.704],[],[1]
5b128c75f80a72e543a68ebb37a1acbec8a1159d88eaf8ec7cb94c0d5c49a93c,[8.3],[36.253],[2]
60b8267a5becce1f11f19ec1e395cd9c387827369ed22d7ab33faa42264a723a,[0.933],[],[1]
1f7d78e303ceb849ce70b883a3e6ef00a1c20abea7658eff5930ee24c55b7aae,[5.817],[],[1]
f504c3b5931e7dcefd24525c092faf0ca3e1be94376500eac797cc4d860893a8,[0.408],"[0.0, 7.21]",[3]
a40c6587f950dc38f04773f5632ab864e0bd75ea44d161834190866ce9c58c04,[0.822],[],[1]
f92e6a07a4aa5fef13f7611ed24657fe306f6f1f7ed2e01e8ae4380f977948c1,[9.649],[],[1]
600028516a7b4731482a4101bca5abbf2144e25966a9913277853c8ba5709bb2,[56.98],[],[1]
2ab0d573779fc7ddbe9f8349a9908d664e322b23717dd6b3f7c89640647c3b7d,[9.593],[],[1]
c52e4acdd9a09a19f1ab2c276a2ff84b91681ad3cf4964ac724dccc0f75bd5f2,[2.301],[],[1]
bef4e3cbe69f2c2dd640d7dc7b3a989aeca5b7483af4df891beba97bcb97d441,[3.254],[],[1]
5af1ae2d5292b08eb9a51900c90947321ef93f68362c53e7a54d7e42bca78484,[1.26],[5.729],[2]
